seed,method,agree_own_clean,agree_zhat_clean,ref_agree_zhat
19,TA50(a=0.05),0.5555555555555556,0.6370370370370371,0.9266666666666666
19,TA50(a=0.10),0.8148148148148148,0.9407407407407408,0.8733333333333333
19,TA50(a=0.25),0.9925925925925926,0.8444444444444444,0.8666666666666667
19,bestB-trim(a=0.10),0.8148148148148148,0.9407407407407408,0.8733333333333333
20,HA50,0.6074074074074074,0.6074074074074074,1.0
20,emEM10,0.9407407407407408,0.725925925925926,0.7933333333333333
20,vote,0.9555555555555556,0.8888888888888888,0.9133333333333333
20,median,0.9333333333333333,0.8814814814814815,0.94
20,adapt,1.0,0.8814814814814815,0.8666666666666667
20,TA-rw(0.25),1.0,0.8814814814814815,0.8666666666666667
20,TA50(a=0.05),0.5259259259259259,0.6074074074074074,0.9266666666666666
20,TA50(a=0.10),0.8814814814814815,1.0,0.8733333333333333
20,TA50(a=0.25),0.9925925925925926,0.8814814814814815,0.8666666666666667
20,bestB-trim(a=0.10),0.8814814814814815,1.0,0.8733333333333333
21,HA50,0.5777777777777777,0.5777777777777777,1.0
21,emEM10,0.9407407407407408,0.7481481481481481,0.7933333333333333
21,vote,0.9629629629629629,0.9037037037037037,0.9133333333333333
21,median,0.9185185185185185,0.8592592592592593,0.94
21,adapt,0.9925925925925926,0.8666666666666667,0.8666666666666667
21,TA-rw(0.25),1.0,0.8740740740740741,0.8666666666666667
21,TA50(a=0.05),0.5259259259259259,0.6,0.9266666666666666
21,TA50(a=0.10),0.8518518518518519,0.9555555555555556,0.8733333333333333
21,TA50(a=0.25),0.9925925925925926,0.8666666666666667,0.8666666666666667
21,bestB-trim(a=0.10),0.8518518518518519,0.9555555555555556,0.8733333333333333
22,HA50,0.5777777777777777,0.5777777777777777,1.0
22,emEM10,0.9407407407407408,0.7407407407407407,0.7933333333333333
22,vote,0.9259259259259259,0.8666666666666667,0.9133333333333333
22,median,0.9259259259259259,0.8666666666666667,0.94
22,adapt,1.0,0.8592592592592593,0.8666666666666667
22,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
22,TA50(a=0.05),0.5407407407407407,0.6148148148148148,0.9266666666666666
22,TA50(a=0.10),0.8592592592592593,0.9333333333333333,0.8733333333333333
22,TA50(a=0.25),0.9851851851851852,0.8592592592592593,0.8666666666666667
22,bestB-trim(a=0.10),0.8592592592592593,0.9333333333333333,0.8733333333333333
23,HA50,0.5481481481481482,0.5481481481481482,1.0
23,emEM10,0.9407407407407408,0.725925925925926,0.7933333333333333
23,vote,0.8814814814814815,0.9185185185185185,0.9133333333333333
