geom,m,solver,rep,n,B,F_hat,t_rep,draws_per_rep,p_zhat,p_basin,frac_Q_below_half,n_Q_below_half,min_Q,mean_Q,q10,vote_agree_zhat,vote_equals_zhat,vote_gap,votepol_equals_zhat,votepol_gap,plural_ne_zstar,zhat_ne_zstar,acc0_zhat,acc0_vote,acc0_bayes,auc_vote_share,auc_plugin,n_zhat_wrong,corr_Q_margin,n_margin_0.05,n_margin_0.1,n_margin_0.2,batch_var_ratio,batch_var_ratio_n
par,8,exact,2,200,2000,169.6365926440136,0.0003115521339328,1.249,0.0045,0.7,0.01,2,0.4815,0.7646275,0.60085,0.99,False,0.0032930440107503,True,7.327471962526033e-15,0.02,0.02,0.945,0.955,0.945,0.9632034632034632,0.9292929292929292,11,0.7030535172269577,192,180,151,0.9990201914090054,197
par,8,exact,3,200,2000,191.7790015092088,0.0003127381169415,1.281,0.0045,0.36,0.015,3,0.4915,0.7277625000000001,0.5804,0.985,False,0.0025690025274527,True,-3.3306690738754696e-16,0.02,0.035,0.94,0.945,0.945,0.9352836879432624,0.948581560283688,12,0.6850889586184845,190,176,131,0.8808492833256777,199
par,8,exact,4,200,2000,165.68715501404577,0.0003055064622687,1.237,0.0025,0.3966666666666666,0.01,2,0.475,0.7928299999999999,0.63895,0.99,False,0.0042227348285315,False,0.0002397381264318,0.01,0.0,0.92,0.91,0.92,0.8488451086956522,0.8845108695652174,16,0.684181147458643,193,187,163,1.0447651455303957,193
par,8,exact,5,200,2000,166.15534709664018,0.0003095206551723,1.266,0.0035,0.33,0.01,2,0.473,0.7676275000000001,0.6243000000000001,0.99,False,0.0046610730259786,False,0.0004819532329425,0.02,0.03,0.94,0.94,0.95,0.8902925531914894,0.9055851063829788,12,0.7299888666425396,192,182,152,0.9256540102998988,200
par,8,exact,6,200,2000,177.9698534961749,0.0003123583513241,1.2325,0.0035,0.3833333333333333,0.005,1,0.484,0.7516925000000001,0.5942,0.995,False,0.0005863496665332,True,8.881784197001252e-15,0.025,0.02,0.94,0.945,0.94,0.800531914893617,0.8909574468085106,12,0.7568830038443276,191,179,152,1.044952828068201,197
par,8,exact,7,200,2000,141.76301545038564,0.0003057067106446,1.241,0.0065,0.65,0.005,1,0.483,0.7633475000000002,0.61675,0.995,False,0.0020209191433577,True,7.549516567451064e-15,0.01,0.015,0.955,0.96,0.96,0.9069226294357184,0.9168121000581734,9,0.6959465198621664,191,189,140,0.9260914631329762,195
par,8,exact,8,200,2000,165.7363365175304,0.000317568886057,1.211,0.004,0.4566666666666666,0.01,2,0.491,0.7925649999999999,0.6344,0.99,False,0.0023557109790512,False,0.0023557109790512,0.025,0.035,0.95,0.94,0.935,0.88,0.8984210526315789,10,0.6967369097133642,192,186,163,0.98813155618359,184
par,8,exact,9,200,2000,164.4281045222076,0.0003138404332836,1.2275,0.005,0.3766666666666666,0.0,0,0.509,0.774345,0.6285,1.0,True,5.551115123125783e-15,True,5.551115123125783e-15,0.015,0.015,0.9,0.9,0.905,0.8313888888888888,0.9094444444444444,20,0.7760368567376678,193,186,158,0.8623782577593887,197
par,8,exact,10,200,2000,189.47549954139728,0.0003154467836081,1.2925,0.003,0.31,0.015,3,0.473,0.7368074999999998,0.61695,0.985,False,0.0034686790746216,False,9.382577717453876e-05,0.025,0.01,0.935,0.93,0.925,0.7784862196626903,0.8416289592760181,13,0.62247974357696,193,186,141,1.092973544733693,198
par,8,exact,11,200,2000,205.61350092888324,0.0003021210029984,1.2075,0.0015,0.3933333333333333,0.005,1,0.4995,0.7530275000000001,0.5742,0.995,False,0.0015344645400678,True,4.6629367034256575e-15,0.015,0.01,0.915,0.92,0.905,0.8719061395049823,0.9215686274509804,17,0.7367553112517795,190,172,146,1.145802622605089,198
par,8,exact,12,200,2000,151.00059924385562,0.0003125530744629,1.241,0.0015,0.06,0.015,3,0.478,0.7954025,0.6308,0.985,False,0.0009536048214786,False,0.0009536048214786,0.005,0.02,0.95,0.935,0.94,0.8863157894736842,0.9052631578947368,10,0.7002445869189009,193,185,172,0.9885925047994714,193
par,8,exact,13,200,2000,148.97524955721082,0.0003065530544732,1.247,0.006,0.32,0.0,0,0.5085,0.7856399999999999,0.6122500000000001,1.0,True,-3.3306690738754696e-16,True,-3.3306690738754696e-16,0.03,0.03,0.93,0.93,0.92,0.7983870967741935,0.8083717357910907,14,0.7298170312833567,189,182,162,0.95281020953746,189
par,8,exact,14,200,2000,180.6468673039119,0.0003103002983506,1.247,0.0025,0.3666666666666666,0.005,1,0.4885,0.7436975,0.57675,0.995,False,0.0009570598034853,True,5.9952043329758445e-15,0.05,0.045,0.895,0.89,0.94,0.8547486033519553,0.8895982974195265,21,0.7004519488413553,185,177,139,1.0223664038197526,197
par,8,exact,15,200,2000,174.81055856875295,0.0003104692288856,1.2225,0.002,0.2766666666666666,0.025,5,0.447,0.7639150000000001,0.5820000000000001,0.975,False,0.0031579640377319,False,0.0031579640377319,0.01,0.035,0.915,0.94,0.95,0.9506589521054324,0.9360334297653488,17,0.709599962066893,184,175,144,1.1673596497551968,194
par,8,exact,16,200,2000,147.53273706778324,0.000318663790605,1.2465,0.014,0.3133333333333333,0.005,1,0.4945,0.7861,0.63195,0.995,False,0.000288575415051,False,0.000288575415051,0.01,0.015,0.95,0.955,0.955,0.8963157894736842,0.9105263157894736,10,0.6735872963387917,199,189,160,0.9962867853977864,193
par,8,exact,17,200,2000,148.15798259372346,0.0003090131144429,1.2355,0.008,0.3,0.015,3,0.4545,0.7818375000000001,0.60675,0.985,False,0.0033651272885619,False,0.0002528744448697,0.025,0.02,0.925,0.92,0.93,0.7446846846846847,0.8533333333333334,15,0.748533648163991,192,182,159,1.090411055496321,194
par,8,exact,18,200,2000,153.0385782515531,0.0003034814957521,1.21,0.003,0.3,0.015,3,0.4745,0.79304,0.6099,0.985,False,0.0053347709944944,False,0.0009892893001897,0.015,0.03,0.895,0.9,0.905,0.8631284916201117,0.9010375099760576,21,0.6428404000469037,192,183,159,0.9957678238025816,190
par,8,exact,19,200,2000,175.2945958098253,0.0003089338485757,1.226,0.0025,0.3433333333333333,0.005,1,0.484,0.7568825,0.5892000000000001,0.995,False,3.1454608992564914e-05,False,3.1454608992564914e-05,0.005,0.01,0.905,0.9,0.905,0.9089851701075894,0.9345740040709508,19,0.7488101962915027,190,176,143,1.0313985257258198,198
par,8,exact,20,200,2000,170.86557057389228,0.0003551676356822,1.2665,0.0045,0.68,0.0,0,0.5065,0.7609075000000002,0.5958,1.0,True,2.220446049250313e-16,True,2.220446049250313e-16,0.0,0.0,0.955,0.955,0.955,0.911867364746946,0.9284467713787086,9,0.6570584739331461,190,178,142,0.9470972967338096,191
par,8,exact,21,200,2000,161.56269769538312,0.0003168371664166,1.242,0.005,0.04,0.015,3,0.4565,0.7843975000000001,0.6201000000000001,0.985,False,0.0144186778979187,True,3.1086244689504387e-15,0.035,0.03,0.95,0.955,0.94,0.8018421052631579,0.8184210526315789,10,0.6319897308609624,188,185,165,1.0221112526765246,192
par,8,exact,22,200,2000,149.14596939107645,0.0003104659870065,1.2675,0.002,0.4733333333333333,0.02,4,0.485,0.7637774999999999,0.6058,0.98,False,0.010840844153567,True,6.661338147750939e-15,0.025,0.015,0.93,0.92,0.92,0.7847542242703534,0.8809523809523809,14,0.6574239151410081,189,182,149,0.9325700903047868,195
