part,cell,K,n,eps,m,rep,method,n_out,acc_clean,ari_clean,perr,alpha_hat,time,p_clean_sub
a,K2-cross-leverage,2,300,0.3,8,97,emEM10,92,0.5096153846153846,-0.0055190535495003,2.84142998501182,,0.0250757338944822,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,vote,92,0.5192307692307693,-0.003299591745428,2.443297464363055,,0.0380846329499036,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,median,92,0.5144230769230769,-0.0039411447433176,2.515816605461862,,0.0380457369610667,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,adapt,92,0.5288461538461539,-0.0015013727369104,2.3111132896471656,0.01,0.0489620808511972,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,adapt-sel,92,0.5288461538461539,-0.0015013727369104,2.3164691392302914,0.01,0.047841350082308,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,adapt-lam0,92,0.5288461538461539,-0.0015013727369104,2.3111132896471656,0.01,0.0457092730794101,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,adapt-1st,92,0.5288461538461539,-0.0015013727369104,2.3111132896471656,0.01,0.0332380121108144,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,TA-rw(oracle),92,0.5288461538461539,-0.0016009605763458,3.0101830966242336,0.0166666666666666,0.0505791220348328,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,TA-rw(0.25),92,0.5336538461538461,-0.0003644939965694,2.990936185521245,0.0133333333333333,0.0517887619789689,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,TA-rw(0.40),92,0.5432692307692307,0.0023110157901281,2.671913336409186,0.01,0.0513745872303843,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,97,bestB-trim(0.25),92,0.5144230769230769,-0.0049802816550968,2.366417288056746,,0.0262740519829094,0.0576480099999999
a,K2-cross-leverage,2,300,0.2,8,16,HA50,61,0.502092050209205,-0.0042010897293683,2.4065664333158,,0.0132218908984214,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,emEM10,61,0.5271966527196653,-0.0008341063620904,3.18792072582584,,0.028941293945536,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,vote,61,0.502092050209205,-0.0042016806722688,2.389765867914844,,0.0388758929912,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,median,61,0.502092050209205,-0.004189271017412,2.4069512912043227,,0.0394701031036675,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,adapt,61,0.502092050209205,-0.0042010897293683,2.38126906692826,0.0066666666666666,0.0482816908042877,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,adapt-sel,61,0.502092050209205,-0.0042010897293683,2.38126906692826,0.0066666666666666,0.0459827650338411,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,adapt-lam0,61,0.502092050209205,-0.0042010897293683,2.3589072250143373,0.0066666666666666,0.048401259118691,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,adapt-1st,61,0.502092050209205,-0.0042010897293683,2.38126906692826,0.0066666666666666,0.0337709081359207,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,TA-rw(oracle),61,0.502092050209205,-0.0041999078456538,2.2751836917814656,0.0233333333333333,0.0496106150094419,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,TA-rw(0.25),61,0.9037656903765692,0.6506448355486928,0.1179474073249731,0.2033333333333333,0.0498282520566135,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,TA-rw(0.40),61,0.9037656903765692,0.6506448355486928,0.1179474073249731,0.2033333333333333,0.0498399878852069,0.1677721600000001
a,K2-cross-leverage,2,300,0.2,8,16,bestB-trim(0.25),61,0.895397489539749,0.6237793019033916,0.2344972539314511,,0.0259146178141236,0.1677721600000001
a,K2-cross,2,300,0.1,8,121,HA50,32,0.6231343283582089,0.0591359057633195,15.015019299475975,,0.0147564839571714,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,emEM10,32,0.503731343283582,0.0,1.9594081654529591,,0.0075896577909588,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,vote,32,0.6455223880597015,0.0828672822173359,13.599728824037946,,0.0448358620051294,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,median,32,0.7723880597014925,0.2942684842229481,1.3754257929918623,,0.0459146478679031,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,adapt,32,0.917910447761194,0.6974650970168766,0.0996327272610528,0.11,0.0481022528838366,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,adapt-sel,32,0.917910447761194,0.6974650970168766,0.0996327272610528,0.11,0.0474364829715341,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,adapt-lam0,32,0.917910447761194,0.6974650970168766,0.0864121463310976,0.11,0.0467070750892162,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,adapt-1st,32,0.917910447761194,0.6974650970168766,0.1015231642993319,0.11,0.0407077928539365,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,TA-rw(oracle),32,0.917910447761194,0.6974650970168766,0.0996327272610528,0.11,0.0498401010408997,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,TA-rw(0.25),32,0.917910447761194,0.6974650970168766,0.1015231642993319,0.11,0.0493210528511554,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,TA-rw(0.40),32,0.917910447761194,0.6974650970168766,0.1104331446035632,0.11,0.050249156076461,0.4304672100000001
a,K2-cross,2,300,0.1,8,121,bestB-trim(0.25),32,0.917910447761194,0.6974650970168766,0.2308276534026037,,0.0317870068829506,0.4304672100000001
a,K2-cross,2,300,0.3,8,137,HA50,90,0.5142857142857142,0.0,22.156110164322637,,0.0135564610827714,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,emEM10,90,0.5,-0.0013290650055497,1.6586350477037286,,0.0075501720421016,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,vote,90,0.5142857142857142,0.0,22.61712787184772,,0.0434423829428851,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,median,90,0.5,-0.0040361199092984,11.98110169662715,,0.0450470610521733,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,adapt,90,0.9333333333333332,0.7499228303005168,0.1189363589405208,0.3,0.0492454280611127,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,adapt-sel,90,0.9333333333333332,0.7499228303005168,0.1189363589405208,0.3,0.0501609379425644,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,adapt-lam0,90,0.9333333333333332,0.7499228303005168,0.1189363589405208,0.3,0.0494386819191277,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,adapt-1st,90,0.9333333333333332,0.7499228303005168,0.1189363589405208,0.3,0.0415961581747978,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,TA-rw(oracle),90,0.9333333333333332,0.7499228303005168,0.1189363589405208,0.3,0.0514794099144637,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,TA-rw(0.25),90,0.5142857142857142,0.0,19.832319590475983,0.14,0.0498430279549211,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,TA-rw(0.40),90,0.9333333333333332,0.7499228303005168,0.1189363589405208,0.3,0.0516224710736423,0.0576480099999999
a,K2-cross,2,300,0.3,8,137,bestB-trim(0.25),90,0.5142857142857142,0.0,21.1596206219671,,0.0325626919511705,0.0576480099999999
a,K2-cross,2,300,0.05,8,187,HA50,17,0.5123674911660777,0.0,21.293729487009703,,0.0130790579132735,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,emEM10,17,0.5123674911660777,0.0,5.394891087504006,,0.0073195830918848,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,vote,17,0.8975265017667845,0.6308122701869153,0.6817983401953773,,0.0430383360944688,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,median,17,0.8621908127208481,0.523053158172507,0.6892453553626381,,0.0440102331340312,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,adapt,17,0.8833922261484098,0.5864996562128902,0.1519024225021354,0.0566666666666666,0.0501302611082792,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,adapt-sel,17,0.8833922261484098,0.5864996562128902,0.1519024225021354,0.0566666666666666,0.0476649519987404,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,adapt-lam0,17,0.8833922261484098,0.5864996562128902,0.1519024225021354,0.0566666666666666,0.0465920278802514,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,adapt-1st,17,0.8833922261484098,0.5864996562128902,0.1519024225021354,0.0566666666666666,0.0409732430707663,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,TA-rw(oracle),17,0.8798586572438163,0.5756722182006275,0.1621345782511842,0.0566666666666666,0.0518380589783191,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,TA-rw(0.25),17,0.8798586572438163,0.5756722182006275,0.1621345782511842,0.0566666666666666,0.0521012051030993,0.6634204312890623
a,K2-cross,2,300,0.05,8,187,TA-rw(0.40),17,0.8798586572438163,0.5756722182006275,0.1660197441985703,0.0566666666666666,0.0532243780326098,0.6634204312890623
